feature,citation,emotion,predict_or_detect,link_valid
sentiment_trajectory,Zuters & Leonova (2020). Adaptive Vocabulary Construction for Frustration Intensity Modelling in Customer Support Dialog Texts. IJCSIT. https://aircconline.com/ijcsit/V12N6/12620ijcsit01.pdf,frustration (intensity/trajectory),predict,valid
sentiment_trajectory,Zuters & Leonova (2022). Frustration Level in Customer Support Tweets: Towards a Language-Independent Model. Baltic J. Modern Computing. https://www.bjmc.lu.lv/fileadmin/user_upload/lu_portal/projekti/bjmc/Contents/10_4_08_Leonova.pdf,frustration (turn-level),predict,valid
politeness_level,Arunachalam et al. (2001). Politeness and Frustration Language in Child–Machine Interactions. INTERSPEECH. https://sail.usc.edu/publications/files/ArunachalamInterSpeech2001.pdf,frustration / politeness,detect,invalid
politeness_level,Potamianos et al. (2004). Detecting Politeness and Frustration State of a Child in a Conversational Computer Game. https://slp-ntua.github.io/potam/preprints/conf/05_EURO_kids_emotions.pdf,frustration / politeness,detect,valid
intent_repetition,Hough & Schlangen (2015). Automatic Detection of Miscommunication in Spoken Dialogue. SIGDIAL. https://aclanthology.org/W15-4647.pdf,miscommunication (negative affect correlate),detect,valid
confusion_lexical_markers,Lee & Narayanan (2005). Toward Detecting Emotions in Spoken Dialogs. IEEE TASLP. https://ict.usc.edu/pubs/Toward%20Detecting%20Emotions%20in%20Spoken%20Dialogs.pdf,negative emotions (incl. frustration-like),detect,valid
negation_frequency,Zuters & Leonova (2020). Adaptive Vocabulary Construction for Frustration Intensity Modelling... (lexical cues). https://aircconline.com/ijcsit/V12N6/12620ijcsit01.pdf,frustration (lexical signals),predict,valid
emotion_words,Zuters & Leonova (2022). Frustration Level in Customer Support Tweets... https://www.bjmc.lu.lv/fileadmin/user_upload/lu_portal/projekti/bjmc/Contents/10_4_08_Leonova.pdf,frustration (lexical),predict,valid
discourse_markers,Lee & Narayanan (2005). Toward Detecting Emotions in Spoken Dialogs (lexical+discourse). https://ict.usc.edu/pubs/Toward%20Detecting%20Emotions%20in%20Spoken%20Dialogs.pdf,negative emotions,detect,valid
emphasis_capitalization,Leonova & Zuters (2021). Frustration Level Annotation in Latvian Tweets with Non-Lexical Features (punctuation/orthography). https://aclanthology.org/2021.ranlp-1.93.pdf,frustration (non-lexical cues),detect,valid
exclamation_density,Leonova & Zuters (2021). Frustration Level Annotation in Latvian Tweets with Non-Lexical Features. https://aclanthology.org/2021.ranlp-1.93.pdf,frustration (non-lexical cues),detect,valid
sarcasm_indicators,Ghosh et al. (2018). Sarcasm Analysis Using Conversation Context. Computational Linguistics. https://direct.mit.edu/coli/article/44/4/755/1620/Sarcasm-Analysis-Using-Conversation-Context,sarcasm (negative affect correlate),detect,invalid
system_failures,Sandbank et al. (2017). Detecting Egregious Conversations between Customers and Virtual Agents. https://arxiv.org/abs/1711.05780,egregious/negative interactions (incl. frustration),detect,valid
system_failures,Ultes et al. (2017). Domain-Independent User Satisfaction Reward Estimation for Dialogue Policy. INTERSPEECH. https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user (dis)satisfaction,detect,valid
repeated_turns,Li et al. (2019). When There is No Progress with a Task-Oriented Chatbot: A Conversation Analysis. (NP events & abandonment). https://www.researchgate.net/figure/Likelihood-of-users-abandoning-the-chatbot-by-number-of-consecutive-NPs-Just-149-of_fig6_336203997,abandonment/dissatisfaction,predict,invalid
conversation_length,Ultes & Schmitt (2015). Interaction Quality: Assessing ongoing dialog quality and relation to satisfaction. Speech Communication. (via citations in Ultes 2017) https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user (dis)satisfaction,detect,valid
user_corrections,Hough & Schlangen (2015). Automatic Detection of Miscommunication in Spoken Dialogue. https://aclanthology.org/W15-4647.pdf,miscommunication (negative),detect,valid
self_corrections,Hough & Schlangen (2015). Automatic Detection of Miscommunication in Spoken Dialogue. https://aclanthology.org/W15-4647.pdf,miscommunication (negative),detect,valid
intent_switch_frequency,Cai et al. (2020). Predicting User Intents and Satisfaction in Conversational Recommenders (dialogue dynamics features). https://wanlingcai.github.io/files/2020/UMAP2020-Paper.pdf,user satisfaction,predict,valid
confirmation_count,Ultes et al. (2017). Domain-Independent User Satisfaction Reward Estimation... https://www.isca-archive.org/interspeech_2017/ultes17_interspeech.pdf,user (dis)satisfaction,detect,valid
system_misunderstanding_rate,Hough & Schlangen (2015). Automatic Detection of Miscommunication in Spoken Dialogue. https://aclanthology.org/W15-4647.pdf,miscommunication (negative),detect,valid
alignment_failures,Steven et al. (2023). How people perceive and talk about miscommunication. Journal of Pragmatics. https://www.sciencedirect.com/science/article/am/pii/S0378216623002448,miscommunication (negative emotions),detect,invalid
