paper,predict_features,detect_features,download_status,download_link,paper_year,#detect_features,#predict_features,training_dataset(s),testing_dataset(s),architecture_summary,results_summary,limitations_summary,additional_features
Hernandez Caralt et al. (2024/2025). Stupid robot  I want to speak to a human!: User Frustration Detection in TOD. arXiv:2411.17437; COLING Industry 2025,,escalation_request,DOWNLOADED,https://aclanthology.org/2025.coling-industry.23.pdf,2025.0,1.0,0.0,Internal benchmark from a deployed TOD system,Internal benchmark from a deployed TOD system,"Compares a deployed keyword-based approach, open-source approaches to sentiment analysis, dialog breakdown detection methods, and in-context learning LLM-based detection for user frustration detection.","The LLM-based approach outperforms all other methods on the internal benchmark, achieving a 16% relative improvement in F1 score.","The study is based on an internal dataset, which is not publicly available. The authors also note that their analysis is limited to textual data and does not include other modalities like speech.",textual features
Fourier GNN MERC (2025 AAAI). https://ojs.aaai.org/index.php/AAAI/article/view/33242/35397,,emotion_volatility,DOWNLOADED,https://ojs.aaai.org/index.php/AAAI/article/view/33242/35397,2025.0,1.0,0.0,IEMOCAP and MELD,IEMOCAP and MELD,Proposes a Graph-Spectrum-based Multimodal Consistency and Complementary collaborative learning framework (GS-MCC) for Multimodal Emotion Recognition in Conversations (MERC). GS-MCC uses a sliding window to construct a multimodal interaction graph and designs efficient Fourier graph operators (FGO) to extract long-distance high-frequency and low-frequency information.,"The proposed GS-MCC architecture outperforms previous state-of-the-art models on two benchmark datasets, IEMOCAP and MELD.","The authors do not explicitly state limitations, but the work is focused on the specific task of multimodal emotion recognition in conversations.","multimodal features (text, audio, video)"
Zhang et al (2025),personality_traits,trust_in_system,DOWNLOADED,https://arxiv.org/html/2503.07279v1,2025.0,4.0,4.0,Multi-agent collaboration system,Human-agent conversations,Multi-agent LLM system with Mixtral-8x7B for trust evaluation,Real-time trust assessment across competence integrity benevolence predictability dimensions,Limited to text-based analysis lacks multimodal input capabilities,text-based features
Counterfactual Assessment of USE (2024),trust_in_system,,DOWNLOADED,https://aclanthology.org/2024.findings-acl.871.pdf,2024.0,1.0,0.0,MultiWOZ and SGD,Augmented versions of MultiWOZ and SGD,Leverages large language models (LLMs) to generate counterfactual dialogues to augment existing task-oriented dialogue datasets. It then evaluates the performance of two open-source LLMs (Zephyr-7b-beta and Mistral-7B-Instruct) as few-shot user satisfaction estimators against fine-tuned models.,"Open-source LLMs, when used as few-shot user satisfaction estimators, show higher robustness to the increase in the number of dissatisfaction labels in the test collection than the fine-tuned state-of-the-art models.",The study focuses on turn-level satisfaction estimation and leaves dialogue-level estimation for future work. The research is exclusively on datasets in English.,
Hsu et al (2024),session_dropout,,DOWNLOADED,https://people.cs.nycu.edu.tw/~armuro/pubs/hsu-et-al-2024-ijhci.pdf,2024.0,0.0,1.0,Proprietary dataset from a global e-commerce platform,Proprietary dataset from a global e-commerce platform,"Proposes a Behavior-aware Hierarchical Transformer (BHT) model. BHT has three components: a behavior encoder to represent customer actions, a hierarchical Transformer to capture both short-term and long-term dependencies in user behavior, and a dropout predictor.","BHT significantly outperforms baseline models (including other Transformer-based models) in predicting session dropout at various early stages of the session. It achieves higher AUC and F1 scores, demonstrating the effectiveness of its hierarchical structure and behavior-aware components.","The study uses a proprietary dataset, limiting reproducibility. The authors suggest future work could explore more sophisticated temporal modeling, incorporate more side information (like product details or user demographics), and test the model's generalizability to other e-commerce platforms.","customer actions, side information (product details, user demographics)"
Li et al (2024),,alignment_failures,DOWNLOADED,https://aclanthology.org/2024.naacl-industry.25.pdf,2024.0,1.0,0.0,Phone call conversations from a healthcare conversational AI agent.,Phone call conversations from a healthcare conversational AI agent.,"Introduces MultConDB, a multimodal model for detecting dialogue breakdown in real-time. The model uses both audio and text signals, leveraging Wav2Vec2 for acoustic features and RoBERTa for textual features. It employs a cross-modal transformer to integrate information from both modalities.","Multimodal models outperform text-only models in detecting dialogue breakdowns. MultConDB achieves the best F1 score, indicating that a multimodal contextual model architecture is critical for this task.","The study uses a proprietary dataset from the healthcare domain, which is not publicly available. The model is designed for phone call conversations and may not be directly applicable to other communication channels.","audio, text signals (Wav2Vec2, RoBERTa)"
Peng et al (2024),personality_traits,,DOWNLOADED,https://www.nature.com/articles/s41598-024-53989-y,2024.0,1.0,1.0,Task-oriented (378 participants) and open-domain (186 participants) human-machine dialogues,10-fold cross-validation on same datasets,BERT-based binary classification models predicting 25 personality traits from user utterances,Open-domain dialogue achieved better accuracy than task-oriented; Extraversion predicted equally well (64%) from both dialogue types,60% accuracy limitation; models don't generalize across dialogue types; hand-crafted features limit system portability,user utterances
Balaraman et al (2023),,"alignment_failures, confusion_lexical_markers",DOWNLOADED,https://aclanthology.org/2023.sigdial-1.52.pdf,2023.0,2.0,0.0,REPAIR-QA,REPAIR-QA,Introduces the REPAIR-QA dataset for Third Position Repair (TPR) in conversational QA. Uses T5 and GPT-3 models to generate corrected question rewrites based on dialogue history.,"The fine-tuned T5 model (T5-REPAIR-QA) outperforms GPT-3 models in handling TPR, indicating that large language models struggle with this phenomenon out-of-the-box.","The collected TPRs are always in the third turn, an artifact of the data collection method. The data was collected via a dialogue completion task, which is less ecologically valid than a fully interactive setting.",dialogue history
Begovic et al (2023),,negation_frequency,DOWNLOADED,https://www.mdpi.com/2076-3417/13/13/7760,2023.0,1.0,0.0,"A corpus of 11,461 Bosnian-language tweets",A filtered subset of 417 tweets,"Proposes a sentiment analysis model for Bosnian-language tweets incorporating negation cues and 'AnA-words'. It uses various machine learning techniques, with the best performance from a CNN combined with a pre-trained Bosnian sentiment lexicon (BOSentiment).",The combined BOSentiment and CNN model achieved an accuracy of over 92% in classifying the sentiment of Bosnian tweets.,The study is specific to the Bosnian language and the Twitter platform. The authors suggest that the approach could be extended to other languages and platforms.,"negation cues, AnA-words"
"Siro, Aliannejadi & de Rijke (2023)",task_complexity,,DOWNLOADED,https://dl.acm.org/doi/10.1145/3624989,2023.0,1.0,1.0,Extended ReDial dataset (200 dialogues),5-fold cross-validation,Classical ML models for turn and dialogue-level prediction,Random Forest achieves ρ=0.7337 for turn-level and F1=0.80 for dialogue classification,Limited to traditional ML approaches and single domain,interest arousal
