method,f1_score,precision,recall,num_features
MI_top_5,0.7761194029850748,0.8666666666666667,0.7027027027027027,5
RFE_4,0.7761194029850748,0.8666666666666667,0.7027027027027027,4
RFE_5,0.7761194029850748,0.8666666666666667,0.7027027027027027,5
MI_top_6,0.7671232876712328,0.7777777777777778,0.7567567567567568,6
MI_top_3,0.7096774193548386,0.88,0.5945945945945946,3
MI_top_4,0.7096774193548386,0.88,0.5945945945945946,4
RFE_3,0.7096774193548386,0.88,0.5945945945945946,3
MI_top_8,0.7042253521126761,0.7352941176470589,0.6756756756756757,8
Hybrid_MI8_LASSO0.01,0.7042253521126761,0.7352941176470589,0.6756756756756757,7
RFE_8,0.6944444444444444,0.7142857142857143,0.6756756756756757,8
All_22_features,0.684931506849315,0.6944444444444444,0.6756756756756757,22
Clean_12_features,0.684931506849315,0.6944444444444444,0.6756756756756757,12
MI_top_12,0.684931506849315,0.6944444444444444,0.6756756756756757,12
LASSO_a0.001,0.6756756756756757,0.6756756756756757,0.6756756756756757,11
LASSO_a0.005,0.6756756756756757,0.6756756756756757,0.6756756756756757,11
LASSO_a0.01,0.6756756756756757,0.6756756756756757,0.6756756756756757,11
LASSO_a0.02,0.6756756756756757,0.6756756756756757,0.6756756756756757,11
MI_top_10,0.6666666666666667,0.6578947368421053,0.6756756756756757,10
RFE_10,0.6666666666666667,0.6578947368421053,0.6756756756756757,10
Hybrid_MI10_LASSO0.01,0.6666666666666667,0.6578947368421053,0.6756756756756757,9
LASSO_a0.05,0.5714285714285715,0.8421052631578947,0.43243243243243246,2
Hybrid_MI8_LASSO0.05,0.5714285714285715,0.8421052631578947,0.43243243243243246,2
Hybrid_MI10_LASSO0.05,0.5714285714285715,0.8421052631578947,0.43243243243243246,2
MI_top_2,0.5454545454545455,0.8333333333333334,0.40540540540540543,2
RFE_2,0.5454545454545455,0.8333333333333334,0.40540540540540543,2
MI_top_1,0.43137254901960786,0.7857142857142857,0.2972972972972973,1
LASSO_a0.1,0.43137254901960786,0.7857142857142857,0.2972972972972973,1
RFE_1,0.43137254901960786,0.7857142857142857,0.2972972972972973,1
Hybrid_MI8_LASSO0.1,0.43137254901960786,0.7857142857142857,0.2972972972972973,1
Hybrid_MI10_LASSO0.1,0.43137254901960786,0.7857142857142857,0.2972972972972973,1
